product_code,brand,ad_name,family,colorway,tier,is_primary_listing,restockable,notes
24370317804,askalabel,Triana by Aska Label - Inner dress wanita sleeveless dress dengan details pleats [5],triana,,,,,
41880431349,askalabel,Amani by Aska Label - Atasan wanita kombinasi kaos dan ruffle,amani,,,,,
28629817060,askalabel,Aryan by Aska Label - Kemeja wanita details pleats lengan panjang,aryan,,,,,
7832216874,askalabel,"Kananta by Aska Label - Dress wanita panjang gamis Muslim busui friendly ukuran XS sampai jumbo warna hitam, coksu,mauve,biru navy [6]",kananta,,,,,
26419177497,askalabel,Rania by Aska Label - Gamis plisket stretch gamis wanita dengan details plisket kecil,rania,,,,,
52456490153,askalabel,Sailani by Aska Label - Rok plisket dengan pinggang karet dan bahan ceruty yang flowy,sailani,,,,,
2162107634,askalabel,Gantari by Aska Label - Gamis Eid wanita dengan details lace dress wanita,gantari,,,,,
55806340615,askalabel,Calya Savana by Aska Label - Tunik wanita dengan details pleats dan lace,calya,,,,,
27340568203,askalabel,Shanvika Tunik by Aska Label - Tunik scallop wanita bahan mix rayon dengan details bordir scallop,shanvika,,,,,
17793931381,askalabel,"Pradhu by Aska Label - Gamis wanita dress Muslim wanita bahan rayon lengan panjang full kancing depan busui friendly warna putih offwhite, beige oat, hitam black [7]",pradhu,,,,,
27377258876,askalabel,Hanum by Aska Label - Gamis Eid wanita details custom lace bunga dress lebaran wanita,hanum,,,,,
3555083976,askalabel,"Adani Minor Defect by Aska Label - Kaos polos wanita Muslim lengan panjang warna Chalk, Light Khaky, Dusty Rose, Skyblue, Lavender [4]",adani,,,,,
44755266206,askalabel,Kamayra by Aska Label - Atasan lace brokat wanita dengan bahan satin premium busui friendly,kamayra,,,,,
22420874323,askalabel,Anjani by Aska Label - Dress wanita pleated gamis Muslim tangan panjang details plisket di bagian belakang busui friendly [7],anjani,,,,,
28520460632,askalabel,Sharva by Aska Label - Gamis umroh wanita busui friendly lengan panjang,sharva,,,,,
40614442303,askalabel,Amala Tunik by Aska Label - Tunik kaos wanita dengan motif garis stripes tunik katun wanita garis,amala,,,,,
44214490013,askalabel,Kamya Tunik by Aska Label - Tunik kemeja wanita dengan bahan tekstur tunik busui wanita full kancing,kamya,,,,,
26774534161,askalabel,"Agni by Aska Label - Gamis wanita pleats dress wanita lengan panjang warna putih, ice grey, hijau sage",agni,,,,,
55755719734,askalabel,Pramesthi Kids by Aska Label - Gamis anak wanita dengan details pleats pada bagian badan,pramesthi,,,,,
